epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5679,1.59607,4.54044,1.2929,0.00051,0.05556,0.0003,0.00029,0.89151,3.75335,1.11379,5.716e-05,5.716e-05,5.716e-05
2,65.3807,1.2417,4.04203,1.14013,0.00192,0.22222,0.00161,0.00128,1.04196,3.73975,1.14752,0.000127337,0.000127337,0.000127337
3,78.5576,1.18191,3.43788,1.13354,0.00349,0.3871,0.01326,0.00503,1.15971,3.70813,1.2029,0.000196099,0.000196099,0.000196099
4,91.1511,1.18366,2.33515,1.09375,0.00502,0.46237,0.08987,0.03211,1.09595,3.5735,1.15165,0.000263446,0.000263446,0.000263446
5,103.144,1.08644,1.97577,1.07739,0.00573,0.7957,0.31208,0.22748,1.14516,3.43602,1.12404,0.000329379,0.000329379,0.000329379
6,115.341,0.98599,1.55463,1.04694,0.0057,0.68459,0.34278,0.29052,1.06298,3.32555,1.092,0.000393897,0.000393897,0.000393897
7,128.33,0.97879,1.66917,1.05591,0.0055,0.46237,0.36605,0.29615,1.03578,3.2148,1.07566,0.000457,0.000457,0.000457
8,140.729,1.10563,1.66793,1.11181,0.00538,0.54122,0.37449,0.31687,1.0765,3.04865,1.09797,0.000518688,0.000518688,0.000518688
9,152.326,0.99973,1.62368,1.0335,0.0055,0.43011,0.4052,0.33866,1.02392,3.15687,1.07061,0.000578962,0.000578962,0.000578962
10,165.128,1.12957,1.63581,1.09812,0.00561,0.43011,0.39343,0.31603,1.04318,3.13588,1.06932,0.000637821,0.000637821,0.000637821
11,177.511,0.99805,1.55076,1.06735,0.0054,0.65233,0.50022,0.40854,1.06804,3.06706,1.09029,0.000695266,0.000695266,0.000695266
12,188.908,1.02242,1.45232,1.02628,0.00504,0.77419,0.68291,0.53233,0.96039,2.97334,1.04639,0.000751295,0.000751295,0.000751295
13,201.111,1.13357,1.66473,1.11705,0.00565,0.8172,0.57308,0.47311,0.9619,3.04459,1.05162,0.00080591,0.00080591,0.00080591
14,213.911,0.87591,1.33222,0.99213,1,0.3155,0.69,0.52115,1.05473,2.594,1.09107,0.000859111,0.000859111,0.000859111
15,226.714,1.06596,1.55523,1.06831,0.55856,0.72043,0.71036,0.56193,1.04499,2.60684,1.11702,0.000910896,0.000910896,0.000910896
16,238.5,0.87538,1.17604,0.98216,0.57964,0.70968,0.73969,0.57244,1.06299,2.79088,1.14839,0.000961267,0.000961267,0.000961267
17,250.695,0.94366,1.36623,1.03444,1,0.45092,0.71736,0.55746,1.08736,2.63105,1.21591,0.00101022,0.00101022,0.00101022
18,262.489,1.28237,1.71906,1.18678,0.99579,0.33333,0.73571,0.5739,1.1293,2.40022,1.22262,0.00105776,0.00105776,0.00105776
19,275.291,0.8476,1.1791,0.96228,0.90025,0.56095,0.73855,0.59548,1.11658,2.13335,1.18065,0.00110389,0.00110389,0.00110389
20,287.48,0.82522,1.10299,0.9731,0.93817,0.62912,0.74926,0.59392,1.12812,2.25729,1.17562,0.0011486,0.0011486,0.0011486
21,299.472,0.8542,1.24751,0.98662,0.80133,0.68329,0.75933,0.58424,1.11184,1.96449,1.17399,0.00114606,0.00114606,0.00114606
22,312.676,1.28336,1.67037,1.19704,0.83781,0.71622,0.77663,0.60847,1.07886,1.64123,1.1613,0.00113191,0.00113191,0.00113191
23,325.478,0.98314,1.34466,0.99801,0.80384,0.7094,0.76839,0.61177,1.08093,1.62902,1.15132,0.00111776,0.00111776,0.00111776
24,337.882,0.88702,1.17307,0.96628,0.76672,0.62474,0.69867,0.57731,1.11856,2.01533,1.18279,0.00110362,0.00110362,0.00110362
25,349.675,0.9395,1.26505,1.02039,0.89135,0.59526,0.6561,0.52253,1.25716,2.19101,1.28144,0.00108947,0.00108947,0.00108947
26,361.882,0.82032,1.0402,0.96632,0.90233,0.43485,0.5679,0.45214,1.38577,2.46822,1.34716,0.00107532,0.00107532,0.00107532
27,375.493,0.83386,1.07344,0.96195,0.96711,0.4349,0.59318,0.46884,1.29114,2.2798,1.26363,0.00106118,0.00106118,0.00106118
28,387.872,0.81163,1.02877,0.98699,0.59259,0.67945,0.49649,0.38644,1.09219,1.68382,1.17751,0.00104703,0.00104703,0.00104703
29,401.444,0.92631,1.17032,1.03835,0.98202,0.67716,0.79344,0.59986,1.06696,1.30551,1.13857,0.00103288,0.00103288,0.00103288
30,414.24,0.87286,1.07616,1.00001,0.92866,0.71849,0.796,0.60876,1.01061,1.12646,1.10745,0.00101873,0.00101873,0.00101873
31,427.028,0.92444,1.18981,1.00454,0.8815,0.74256,0.79012,0.6474,0.96654,1.12241,1.08962,0.00100459,0.00100459,0.00100459
32,439.027,0.93413,1.13347,1.05347,0.84128,0.73658,0.78131,0.6419,0.99138,1.31119,1.10413,0.00099044,0.00099044,0.00099044
33,451.024,0.91683,1.18153,1.03506,0.83257,0.7428,0.78318,0.6126,1.00367,1.29794,1.09767,0.000976293,0.000976293,0.000976293
34,462.65,0.97138,1.22763,1.03486,0.89093,0.75269,0.78068,0.61982,0.97555,1.10923,1.07565,0.000962146,0.000962146,0.000962146
35,475.036,0.94863,1.1675,1.02422,0.95736,0.74194,0.78965,0.63162,0.97795,1.07626,1.08323,0.000947999,0.000947999,0.000947999
36,487.209,0.74935,0.9246,0.93498,0.96445,0.72749,0.80151,0.60244,1.01755,0.985,1.06622,0.000933851,0.000933851,0.000933851
37,498.822,0.90462,1.10398,1.00158,0.76502,0.8096,0.8123,0.59935,0.99056,0.92712,1.05395,0.000919704,0.000919704,0.000919704
38,511.007,0.96948,1.115,1.0137,0.76039,0.82216,0.82058,0.60324,1.00601,0.92576,1.05112,0.000905557,0.000905557,0.000905557
39,523.408,0.94233,1.03685,0.98894,0.8399,0.81351,0.84379,0.59749,0.98984,0.92015,1.05687,0.00089141,0.00089141,0.00089141
40,535.007,0.88551,1.07884,1.00808,0.89119,0.80215,0.83444,0.61044,0.95281,0.85245,1.04445,0.000877263,0.000877263,0.000877263
41,548.393,0.8687,1.06271,0.96226,0.90097,0.8172,0.85098,0.63408,0.9395,0.83563,1.03471,0.000863116,0.000863116,0.000863116
42,561.38,0.77011,0.89247,0.96436,0.92562,0.80975,0.85876,0.63952,0.91337,0.78295,1.02099,0.000848969,0.000848969,0.000848969
43,574.383,0.82275,0.92292,0.94403,0.90874,0.81522,0.86239,0.66471,0.93077,0.77124,1.027,0.000834822,0.000834822,0.000834822
44,586.171,0.79229,0.908,0.95786,0.92838,0.83307,0.87803,0.6311,0.95727,0.73751,1.04828,0.000820675,0.000820675,0.000820675
45,597.972,0.79072,0.90705,0.93648,0.94948,0.82796,0.86685,0.63213,0.95067,0.74897,1.04972,0.000806528,0.000806528,0.000806528
46,609.172,0.71011,0.83268,0.93262,0.92205,0.8172,0.84159,0.67348,0.93044,0.78765,1.03997,0.00079238,0.00079238,0.00079238
47,620.97,0.86037,0.99661,0.98564,0.94546,0.80645,0.83644,0.66562,0.89449,0.79957,1.02978,0.000778233,0.000778233,0.000778233
48,632.558,0.99067,1.1935,1.0661,0.95435,0.80827,0.86104,0.64019,0.96117,0.76937,1.07563,0.000764086,0.000764086,0.000764086
49,643.963,0.77585,0.87413,0.94075,0.87546,0.84946,0.86771,0.64632,0.9444,0.77263,1.07681,0.000749939,0.000749939,0.000749939
50,655.757,1.06603,1.33931,1.06936,0.89522,0.84946,0.86132,0.64804,0.90239,0.74532,1.06014,0.000735792,0.000735792,0.000735792
51,667.951,0.82478,0.93516,0.96618,0.88053,0.82796,0.86115,0.64127,0.94717,0.77396,1.06707,0.000721645,0.000721645,0.000721645
52,679.355,1.02659,1.14887,1.03003,0.92943,0.84946,0.87584,0.67297,0.89443,0.83029,1.03521,0.000707498,0.000707498,0.000707498
53,690.943,0.67241,0.84739,0.91795,0.91148,0.83317,0.86587,0.6356,0.88828,0.84958,1.03803,0.000693351,0.000693351,0.000693351
54,703.533,0.82166,0.89807,0.96855,0.90151,0.79409,0.8605,0.65479,0.9119,0.88252,1.05043,0.000679204,0.000679204,0.000679204
55,714.94,0.98001,1.19712,1.08449,0.89435,0.80381,0.86008,0.62097,0.93961,0.85434,1.05828,0.000665057,0.000665057,0.000665057
56,727.125,0.90841,1.17133,1.00469,0.92725,0.83809,0.8838,0.62112,0.92132,0.7834,1.03069,0.000650909,0.000650909,0.000650909
57,738.72,0.83902,0.93555,1.00569,0.86997,0.86022,0.88326,0.63732,0.94124,0.7748,1.04215,0.000636762,0.000636762,0.000636762
58,749.917,0.82615,0.92067,0.96022,0.88612,0.85106,0.8833,0.6632,0.88001,0.75525,1.03374,0.000622615,0.000622615,0.000622615
59,762.309,0.73361,0.85564,0.94151,0.93899,0.83871,0.89065,0.66287,0.90361,0.75479,1.04557,0.000608468,0.000608468,0.000608468
60,774.102,0.74262,0.8581,0.95381,0.93195,0.83871,0.8745,0.61936,0.97374,0.85082,1.06631,0.000594321,0.000594321,0.000594321
61,786.705,0.71137,0.80406,0.93529,0.93864,0.8372,0.87276,0.64077,0.9379,0.85946,1.05543,0.000580174,0.000580174,0.000580174
62,798.907,0.7903,0.9221,0.94171,0.94364,0.82796,0.87818,0.64308,0.9291,0.83423,1.05382,0.000566027,0.000566027,0.000566027
63,810.693,0.70461,0.84343,0.97455,0.94936,0.82255,0.87686,0.65989,0.91572,0.80389,1.03786,0.00055188,0.00055188,0.00055188
64,822.897,0.8279,0.95971,0.9613,0.92343,0.84946,0.8831,0.66151,0.87547,0.75635,1.0234,0.000537733,0.000537733,0.000537733
65,834.884,0.68217,0.72682,0.92915,0.87552,0.86022,0.88858,0.67252,0.8711,0.73869,1.01808,0.000523586,0.000523586,0.000523586
66,846.502,0.66799,0.79973,0.92407,0.85105,0.88172,0.89131,0.66737,0.87091,0.73979,1.01863,0.000509438,0.000509438,0.000509438
67,858.48,0.68977,0.80606,0.92109,0.84644,0.88172,0.88685,0.65277,0.89499,0.77171,1.02895,0.000495291,0.000495291,0.000495291
68,871.093,0.80204,0.94055,0.99171,0.81865,0.88172,0.87265,0.66631,0.8908,0.73806,1.02954,0.000481144,0.000481144,0.000481144
69,883.478,0.85271,0.99501,0.98371,0.90447,0.83871,0.89315,0.6743,0.88814,0.72518,1.02866,0.000466997,0.000466997,0.000466997
70,895.464,0.75344,0.84487,0.96005,0.90871,0.83871,0.8794,0.67689,0.87085,0.71202,1.02342,0.00045285,0.00045285,0.00045285
71,909.263,0.7772,0.87229,0.96098,0.91347,0.82796,0.87973,0.68498,0.87132,0.72334,1.02571,0.000438703,0.000438703,0.000438703
72,921.267,0.80625,0.94281,1.01023,0.90909,0.83871,0.89129,0.69267,0.88247,0.72924,1.03877,0.000424556,0.000424556,0.000424556
73,933.852,0.71848,0.82232,0.96038,0.84929,0.88172,0.89461,0.69431,0.89334,0.71651,1.03383,0.000410409,0.000410409,0.000410409
74,946.441,0.6051,0.72026,0.89934,0.89429,0.85689,0.89808,0.68169,0.89311,0.68315,1.03203,0.000396262,0.000396262,0.000396262
75,958.441,0.78665,0.85725,0.97418,0.86797,0.85036,0.88139,0.68143,0.91068,0.66657,1.04662,0.000382115,0.000382115,0.000382115
76,970.465,0.67884,0.74862,0.92482,0.86641,0.86022,0.88312,0.69203,0.8803,0.67765,1.04256,0.000367967,0.000367967,0.000367967
77,983.033,0.70111,0.75213,0.92854,0.87554,0.87097,0.88165,0.68557,0.88517,0.68029,1.04759,0.00035382,0.00035382,0.00035382
78,995.826,0.69433,0.70926,0.92196,0.86979,0.86103,0.88046,0.67487,0.87937,0.69633,1.04746,0.000339673,0.000339673,0.000339673
79,1008.23,0.65147,0.72345,0.91822,0.88586,0.85449,0.88063,0.68198,0.88852,0.69988,1.04428,0.000325526,0.000325526,0.000325526
80,1020.42,0.69613,0.80363,0.93681,0.91332,0.84946,0.88433,0.69756,0.87342,0.72346,1.02415,0.000311379,0.000311379,0.000311379
81,1032.82,0.87962,0.94026,1.01249,0.88877,0.84946,0.8827,0.69328,0.84508,0.72797,1.01415,0.000297232,0.000297232,0.000297232
82,1044.42,0.7094,0.81418,0.93507,0.9048,0.84946,0.88602,0.70297,0.84216,0.72426,1.01054,0.000283085,0.000283085,0.000283085
83,1056.02,0.79188,0.82625,0.95913,0.907,0.84703,0.88582,0.68122,0.84503,0.705,1.01413,0.000268938,0.000268938,0.000268938
84,1069.01,0.71573,0.78473,0.91615,0.9182,0.83871,0.88047,0.66707,0.86859,0.68797,1.03666,0.000254791,0.000254791,0.000254791
85,1080.61,0.68652,0.87182,0.94806,0.90899,0.83871,0.8817,0.68168,0.88413,0.69516,1.04051,0.000240644,0.000240644,0.000240644
86,1092.99,0.72925,0.74032,0.95168,0.89869,0.83871,0.88283,0.68039,0.89008,0.70225,1.04088,0.000226497,0.000226497,0.000226497
87,1104.99,0.56891,0.66165,0.89287,0.85534,0.85492,0.88153,0.68726,0.88411,0.71032,1.03585,0.000212349,0.000212349,0.000212349
88,1116.79,0.63534,0.78928,0.89671,0.85545,0.84946,0.87754,0.68198,0.887,0.7091,1.03399,0.000198202,0.000198202,0.000198202
89,1128.78,0.76026,0.89597,0.96701,0.87454,0.86854,0.87959,0.6816,0.90059,0.71719,1.03739,0.000184055,0.000184055,0.000184055
90,1140.99,0.6683,0.84396,0.93073,0.86547,0.88343,0.90043,0.68602,0.90359,0.72123,1.04014,0.000169908,0.000169908,0.000169908
91,1152.97,0.74443,0.92964,0.94244,0.86299,0.88172,0.89838,0.68808,0.89827,0.73583,1.03871,0.000155761,0.000155761,0.000155761
92,1164.76,0.69816,0.9134,0.93799,0.85025,0.85852,0.89112,0.68388,0.90623,0.76426,1.04573,0.000141614,0.000141614,0.000141614
93,1178.58,0.69748,0.88316,0.91076,0.86162,0.85229,0.89548,0.6834,0.91132,0.77726,1.04905,0.000127467,0.000127467,0.000127467
94,1190.76,0.68452,0.89971,0.91178,0.83897,0.8543,0.89539,0.68249,0.92357,0.78735,1.05279,0.00011332,0.00011332,0.00011332
95,1202.96,0.65231,0.90745,0.9142,0.85013,0.86388,0.8962,0.69602,0.92977,0.78295,1.05162,9.91726e-05,9.91726e-05,9.91726e-05
96,1214.56,0.61446,0.8336,0.89889,0.86036,0.85512,0.88413,0.69478,0.94177,0.75975,1.05488,8.50255e-05,8.50255e-05,8.50255e-05
97,1226.96,0.66422,0.8252,0.92001,0.86806,0.86384,0.87932,0.69665,0.9378,0.74352,1.05444,7.08784e-05,7.08784e-05,7.08784e-05
98,1240.54,0.67574,0.8556,0.91722,0.86878,0.86022,0.88305,0.71918,0.92907,0.73288,1.05157,5.67313e-05,5.67313e-05,5.67313e-05
99,1252.34,0.62262,0.79927,0.9036,0.87888,0.86022,0.88322,0.7009,0.92711,0.72325,1.04988,4.25842e-05,4.25842e-05,4.25842e-05
100,1264.39,0.60115,0.74837,0.90511,0.88969,0.87097,0.89562,0.69803,0.92029,0.71054,1.04776,2.84371e-05,2.84371e-05,2.84371e-05
