epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1271,1.56902,4.38042,1.26702,0.00117,0.10115,0.00297,0.00082,1.49659,3.85347,1.52593,5.716e-05,5.716e-05,5.716e-05
2,62.0494,1.37991,4.23682,1.19856,0.00124,0.11188,0.06146,0.02728,1.48596,3.83586,1.50634,0.000127337,0.000127337,0.000127337
3,74.4357,1.21633,3.5499,1.09785,0.00314,0.28889,0.28306,0.20537,1.58334,3.68317,1.42565,0.000196099,0.000196099,0.000196099
4,87.2173,1.13544,2.32446,1.07684,0.00272,0.30038,0.28869,0.23993,1.51507,3.61063,1.48197,0.000263446,0.000263446,0.000263446
5,99.2202,1.00288,1.94669,1.02294,0.0033,0.38068,0.2976,0.23939,1.5075,3.59576,1.44452,0.000329379,0.000329379,0.000329379
6,111.818,1.12838,2.15292,1.03854,0.00356,0.40895,0.32765,0.25999,1.44676,3.57173,1.43303,0.000393897,0.000393897,0.000393897
7,123.997,0.9365,1.69129,1.00734,0.00357,0.4023,0.28832,0.16492,1.29128,3.528,1.3762,0.000457,0.000457,0.000457
8,134.79,0.86701,1.35777,0.96439,0.00299,0.34559,0.20867,0.17142,1.3048,3.49331,1.36228,0.000518688,0.000518688,0.000518688
9,145.591,0.95748,1.49024,1.02413,0.00399,0.40911,0.04495,0.03717,1.38092,3.52539,1.4015,0.000578962,0.000578962,0.000578962
10,156.999,1.03405,1.4929,1.04776,0.00366,0.36935,0.28931,0.2646,1.41534,3.49518,1.46683,0.000637821,0.000637821,0.000637821
11,168.588,0.99559,1.53123,1.03357,0.0025,0.27816,0.01164,0.01056,1.40721,3.53314,1.44138,0.000695266,0.000695266,0.000695266
12,179.382,0.8717,1.24877,0.96744,0.00659,0.57669,0.39389,0.29418,1.44064,3.23425,1.45542,0.000751295,0.000751295,0.000751295
13,189.983,0.86179,1.21295,0.96184,0.00635,0.56519,0.4152,0.30987,1.47728,3.1661,1.45626,0.00080591,0.00080591,0.00080591
14,200.784,0.95114,1.39001,0.98308,0.66667,0.08492,0.36426,0.31303,1.42583,2.96298,1.3836,0.000859111,0.000859111,0.000859111
15,212.368,0.91048,1.24541,0.97195,0.85313,0.30385,0.50439,0.37884,1.49959,2.80649,1.46762,0.000910896,0.000910896,0.000910896
16,223.173,0.8487,1.16594,0.9516,1,0.32411,0.53342,0.38951,1.59149,2.72113,1.5306,0.000961267,0.000961267,0.000961267
17,233.963,0.85945,1.283,0.96086,0.98485,0.33829,0.46636,0.35115,1.48208,2.37755,1.48332,0.00101022,0.00101022,0.00101022
18,244.764,0.8347,1.21079,0.96058,0.75216,0.39806,0.52251,0.38246,1.46413,2.32952,1.45811,0.00105776,0.00105776,0.00105776
19,256.156,0.75197,1.05838,0.89775,0.9011,0.43851,0.52733,0.38484,1.43369,2.22147,1.44816,0.00110389,0.00110389,0.00110389
20,267.949,0.7611,0.98629,0.91574,0.84394,0.43876,0.51978,0.39046,1.45991,2.26116,1.5261,0.0011486,0.0011486,0.0011486
21,279.166,0.77874,1.05186,0.95022,0.85335,0.46175,0.51499,0.40123,1.41922,1.99567,1.51584,0.00114606,0.00114606,0.00114606
22,291.392,0.92209,1.21666,0.99565,0.67383,0.44162,0.45167,0.3533,1.47674,2.10744,1.53926,0.00113191,0.00113191,0.00113191
23,303.939,0.79842,1.02446,0.95662,0.8661,0.46175,0.49828,0.38856,1.43951,1.99186,1.51379,0.00111776,0.00111776,0.00111776
24,316.356,0.76555,0.97975,0.91169,0.91618,0.47017,0.5468,0.39418,1.45719,1.84537,1.4696,0.00110362,0.00110362,0.00110362
25,328.735,0.81596,1.12955,0.94633,0.91646,0.49318,0.54027,0.40332,1.40633,1.87455,1.46134,0.00108947,0.00108947,0.00108947
26,340.33,0.80204,1.09395,0.93375,0.86106,0.48473,0.52416,0.40477,1.3636,1.81797,1.44477,0.00107532,0.00107532,0.00107532
27,352.522,0.93237,1.2208,0.98509,0.81633,0.51015,0.53392,0.39524,1.39139,1.77272,1.48257,0.00106118,0.00106118,0.00106118
28,363.314,0.87593,1.11384,0.99385,0.7636,0.45015,0.50692,0.38412,1.41131,1.99192,1.48451,0.00104703,0.00104703,0.00104703
29,374.717,0.68027,0.91098,0.92351,0.76376,0.53312,0.51513,0.38733,1.3703,1.69225,1.46584,0.00103288,0.00103288,0.00103288
30,386.316,0.8343,1.08959,0.9773,0.74744,0.54221,0.53614,0.4011,1.39724,1.54067,1.48583,0.00101873,0.00101873,0.00101873
31,397.32,0.69672,1.0143,0.94362,0.75519,0.54221,0.54712,0.41729,1.39361,1.47761,1.44335,0.00100459,0.00100459,0.00100459
32,408.905,0.78727,0.89383,0.94192,0.77686,0.56519,0.57977,0.44588,1.32447,1.49109,1.41509,0.00099044,0.00099044,0.00099044
33,420.306,0.71685,0.84355,0.91793,0.77161,0.55942,0.56992,0.43139,1.28512,1.39468,1.39414,0.000976293,0.000976293,0.000976293
34,431.71,0.82623,1.00954,0.9353,0.71169,0.55243,0.5577,0.41288,1.28132,1.46287,1.41071,0.000962146,0.000962146,0.000962146
35,443.896,0.84555,1.01765,0.96114,0.79478,0.5495,0.55321,0.41526,1.2821,1.44823,1.41606,0.000947999,0.000947999,0.000947999
36,455.291,0.79585,1.01606,0.94336,0.82969,0.55287,0.56154,0.42419,1.26195,1.29395,1.39636,0.000933851,0.000933851,0.000933851
37,466.49,0.81346,0.98552,0.93953,0.85603,0.55106,0.5803,0.44034,1.24423,1.23307,1.36338,0.000919704,0.000919704,0.000919704
38,477.889,0.78494,0.95866,0.9557,0.84829,0.56519,0.59899,0.45719,1.27032,1.2086,1.36486,0.000905557,0.000905557,0.000905557
39,489.276,0.80881,0.94735,0.92754,0.81303,0.56519,0.6013,0.45078,1.25267,1.1727,1.33986,0.00089141,0.00089141,0.00089141
40,500.277,0.76925,0.88096,0.95413,0.77699,0.57669,0.60362,0.44921,1.18258,1.11347,1.29963,0.000877263,0.000877263,0.000877263
41,512.663,0.74894,0.9266,0.91351,0.77237,0.59031,0.59783,0.44556,1.20991,1.13331,1.31652,0.000863116,0.000863116,0.000863116
42,524.47,0.80926,0.92182,0.94072,0.7472,0.5853,0.5883,0.43981,1.24199,1.16985,1.32026,0.000848969,0.000848969,0.000848969
43,536.658,0.79606,0.90546,0.93219,0.76826,0.58818,0.57253,0.42675,1.37325,1.28146,1.41754,0.000834822,0.000834822,0.000834822
44,548.065,0.75714,0.90245,0.92484,0.87227,0.57406,0.5862,0.43847,1.29536,1.11022,1.41,0.000820675,0.000820675,0.000820675
45,560.456,0.67248,0.78327,0.89834,0.88037,0.56232,0.57394,0.43337,1.29053,1.12355,1.42516,0.000806528,0.000806528,0.000806528
46,572.048,0.66471,0.72029,0.88927,0.84219,0.58818,0.5861,0.44073,1.27508,1.1207,1.4166,0.00079238,0.00079238,0.00079238
47,584.24,0.61307,0.70322,0.88446,0.84754,0.58765,0.59619,0.4527,1.27679,1.08984,1.42599,0.000778233,0.000778233,0.000778233
48,595.843,0.62785,0.76111,0.91112,0.82643,0.54221,0.5774,0.44569,1.2344,1.15861,1.36458,0.000764086,0.000764086,0.000764086
49,607.032,0.72391,0.81021,0.90988,0.84861,0.54221,0.57719,0.44769,1.16673,1.14361,1.31131,0.000749939,0.000749939,0.000749939
50,618.638,0.67506,0.8417,0.91262,0.87174,0.54221,0.57734,0.44595,1.1108,1.11222,1.27493,0.000735792,0.000735792,0.000735792
51,630.814,0.65352,0.77189,0.89943,0.84529,0.54221,0.57752,0.43213,1.16103,1.14554,1.30449,0.000721645,0.000721645,0.000721645
52,643.217,0.73692,0.77648,0.92653,0.83258,0.56519,0.58194,0.44364,1.18198,1.1067,1.30587,0.000707498,0.000707498,0.000707498
53,655.822,0.75743,0.86979,0.92937,0.90715,0.56519,0.5959,0.43652,1.18744,1.09611,1.3154,0.000693351,0.000693351,0.000693351
54,668.809,0.66184,0.67304,0.88853,0.85553,0.54221,0.58851,0.43857,1.15403,1.0853,1.29192,0.000679204,0.000679204,0.000679204
55,680.814,0.78665,0.84656,0.94958,0.91804,0.53905,0.58325,0.43263,1.17761,1.10888,1.30889,0.000665057,0.000665057,0.000665057
56,691.809,0.71879,0.83207,0.92463,0.89902,0.53071,0.57516,0.43817,1.21189,1.12389,1.35744,0.000650909,0.000650909,0.000650909
57,702.398,0.69718,0.73133,0.9013,0.87833,0.5537,0.58675,0.44236,1.18982,1.10783,1.34372,0.000636762,0.000636762,0.000636762
58,712.788,0.72652,0.76064,0.90787,0.90144,0.5537,0.59035,0.44177,1.16335,1.05117,1.30771,0.000622615,0.000622615,0.000622615
59,723.988,0.61989,0.67344,0.89336,0.84394,0.56519,0.58552,0.43978,1.15743,1.07946,1.3002,0.000608468,0.000608468,0.000608468
60,734.387,0.5533,0.60384,0.8575,0.82826,0.5664,0.58796,0.44737,1.06564,0.98591,1.22284,0.000594321,0.000594321,0.000594321
61,746.014,0.72733,0.80174,0.92365,0.83592,0.58177,0.59272,0.45098,1.07658,0.97778,1.20439,0.000580174,0.000580174,0.000580174
62,757.786,0.63953,0.79851,0.90941,0.81029,0.56519,0.57902,0.45144,1.08391,0.97967,1.19237,0.000566027,0.000566027,0.000566027
63,768.374,0.72276,0.86545,0.92864,0.85141,0.56519,0.57868,0.45085,1.08989,1.0084,1.19706,0.00055188,0.00055188,0.00055188
64,779.373,0.65376,0.70177,0.90199,0.81766,0.57669,0.57997,0.45019,1.10754,1.04319,1.2332,0.000537733,0.000537733,0.000537733
65,789.98,0.62603,0.75818,0.91297,0.92364,0.5537,0.59237,0.45319,1.10894,1.02548,1.2337,0.000523586,0.000523586,0.000523586
66,801.38,0.58863,0.68932,0.85777,0.89885,0.56202,0.59464,0.45123,1.15555,1.0397,1.2587,0.000509438,0.000509438,0.000509438
67,814.191,0.60738,0.6682,0.89177,0.87163,0.5537,0.59419,0.44566,1.16774,1.03222,1.27178,0.000495291,0.000495291,0.000495291
68,826.356,0.65542,0.7227,0.91226,0.91465,0.57669,0.60423,0.45619,1.17123,1.09654,1.3418,0.000481144,0.000481144,0.000481144
69,839.952,0.65617,0.70165,0.92155,0.86372,0.57669,0.58723,0.45818,1.17341,1.09992,1.34762,0.000466997,0.000466997,0.000466997
70,851.948,0.65282,0.72223,0.88676,0.90075,0.57669,0.60106,0.46013,1.17928,1.10404,1.34678,0.00045285,0.00045285,0.00045285
71,867.74,0.71611,0.76429,0.93231,0.91618,0.56777,0.60058,0.45992,1.17488,1.08566,1.32336,0.000438703,0.000438703,0.000438703
72,883.537,0.62098,0.80242,0.90171,0.87825,0.57669,0.59714,0.45234,1.12888,1.07998,1.27949,0.000424556,0.000424556,0.000424556
73,896.743,0.58421,0.70131,0.88247,0.902,0.57669,0.59855,0.46476,1.10498,1.08988,1.26387,0.000410409,0.000410409,0.000410409
74,910.36,0.52803,0.60346,0.87788,0.87568,0.56519,0.59163,0.45605,1.1151,1.10589,1.27428,0.000396262,0.000396262,0.000396262
75,923.321,0.54804,0.63163,0.84757,0.86376,0.57694,0.59106,0.45816,1.09654,1.07759,1.26418,0.000382115,0.000382115,0.000382115
76,937.931,0.57744,0.64642,0.88556,0.87465,0.57229,0.59084,0.45307,1.07049,1.04576,1.23465,0.000367967,0.000367967,0.000367967
77,951.901,0.62366,0.67997,0.89341,0.89063,0.58167,0.59447,0.45589,1.07756,1.05096,1.23411,0.00035382,0.00035382,0.00035382
78,966.911,0.66028,0.67459,0.90545,0.89354,0.58498,0.59811,0.4685,1.08698,1.05382,1.23263,0.000339673,0.000339673,0.000339673
79,979.723,0.55653,0.62581,0.87425,0.94119,0.57294,0.60076,0.47031,1.04947,1.0226,1.20374,0.000325526,0.000325526,0.000325526
80,991.309,0.62377,0.66431,0.88965,0.94065,0.57669,0.60897,0.47324,1.06564,1.00691,1.1876,0.000311379,0.000311379,0.000311379
81,1002.49,0.63337,0.65551,0.87594,0.93536,0.57669,0.60463,0.47736,1.09014,1.0287,1.19342,0.000297232,0.000297232,0.000297232
82,1013.09,0.54592,0.61186,0.87603,0.91862,0.57669,0.60441,0.46419,1.10788,1.02664,1.19991,0.000283085,0.000283085,0.000283085
83,1023.89,0.60836,0.65048,0.89164,0.93386,0.57669,0.60261,0.46692,1.10014,1.02564,1.1993,0.000268938,0.000268938,0.000268938
84,1035.29,0.53191,0.56608,0.85442,0.94564,0.57669,0.60075,0.46781,1.04434,1.01911,1.18705,0.000254791,0.000254791,0.000254791
85,1046.68,0.58652,0.61288,0.87475,0.92906,0.58607,0.60186,0.47052,1.04746,1.00887,1.19011,0.000240644,0.000240644,0.000240644
86,1058.47,0.53032,0.57929,0.8594,0.93109,0.58818,0.60057,0.47379,1.05522,1.01461,1.20316,0.000226497,0.000226497,0.000226497
87,1069.86,0.55784,0.56892,0.86932,0.9306,0.58818,0.60108,0.46653,1.04273,1.00073,1.19815,0.000212349,0.000212349,0.000212349
88,1081.06,0.61815,0.69817,0.87326,0.94401,0.58818,0.60243,0.47534,1.0383,0.97884,1.20815,0.000198202,0.000198202,0.000198202
89,1092.26,0.51416,0.57168,0.85352,0.94626,0.58818,0.60389,0.47228,1.04802,0.99935,1.21809,0.000184055,0.000184055,0.000184055
90,1103.46,0.57675,0.70952,0.90801,0.94622,0.58818,0.60675,0.47073,1.06213,1.01785,1.22137,0.000169908,0.000169908,0.000169908
91,1115.46,0.57256,0.70431,0.85622,0.94675,0.58818,0.60694,0.47111,1.06612,1.02559,1.22345,0.000155761,0.000155761,0.000155761
92,1126.85,0.57793,0.72147,0.89619,0.94562,0.58818,0.60458,0.46729,1.09023,1.0369,1.24728,0.000141614,0.000141614,0.000141614
93,1139.45,0.50819,0.64655,0.84752,0.94397,0.58818,0.6032,0.46796,1.07505,1.03826,1.24406,0.000127467,0.000127467,0.000127467
94,1150.83,0.53234,0.65001,0.8747,0.94102,0.58704,0.60233,0.47078,1.07473,1.04902,1.25449,0.00011332,0.00011332,0.00011332
95,1162.44,0.51973,0.72435,0.85627,0.9381,0.5859,0.6023,0.47073,1.07597,1.04931,1.26336,9.91726e-05,9.91726e-05,9.91726e-05
96,1173.02,0.55977,0.64792,0.89641,0.94073,0.57669,0.60156,0.47602,1.05578,1.05471,1.26233,8.50255e-05,8.50255e-05,8.50255e-05
97,1185.03,0.5219,0.68762,0.87843,0.94447,0.57394,0.60039,0.47532,1.04498,1.0478,1.25968,7.08784e-05,7.08784e-05,7.08784e-05
98,1196.82,0.51808,0.655,0.8749,0.93637,0.56519,0.60023,0.46814,1.0435,1.03862,1.25517,5.67313e-05,5.67313e-05,5.67313e-05
99,1207.23,0.53511,0.66934,0.87733,0.9328,0.56519,0.59966,0.47225,1.03878,1.034,1.25498,4.25842e-05,4.25842e-05,4.25842e-05
100,1218.62,0.48393,0.61757,0.84366,0.93612,0.56519,0.5992,0.46996,1.03926,1.02509,1.25547,2.84371e-05,2.84371e-05,2.84371e-05
