epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3081,1.56676,4.20783,1.36917,0.00016,0.03704,0.00022,2e-05,0.88288,3.76355,1.05892,5.716e-05,5.716e-05,5.716e-05
2,62.2501,1.82558,4.21005,1.53717,0.00123,0.2963,0.00371,0.00159,0.96066,3.76625,1.07892,0.000127337,0.000127337,0.000127337
3,74.6544,1.3634,3.47417,1.25125,0.00442,0.55247,0.07875,0.03767,0.84296,3.70655,1.02347,0.000196099,0.000196099,0.000196099
4,86.6362,1.35389,2.56535,1.24048,0.00536,0.66975,0.11044,0.05293,0.72944,3.60152,0.98288,0.000263446,0.000263446,0.000263446
5,98.6354,1.20241,2.04574,1.17133,0.00631,0.74691,0.18726,0.12511,0.81354,3.4845,0.97123,0.000329379,0.000329379,0.000329379
6,110.63,1.12576,1.9248,1.09038,0.0062,0.71914,0.26473,0.18262,0.7701,3.43298,0.98052,0.000393897,0.000393897,0.000393897
7,123.853,1.22062,1.86039,1.15775,0.00344,0.42284,0.28562,0.26447,0.72066,3.33455,0.97898,0.000457,0.000457,0.000457
8,134.645,0.86784,1.40745,1.03262,0.00448,0.48148,0.38388,0.34317,0.79355,3.25212,1.0013,0.000518688,0.000518688,0.000518688
9,147.232,1.12593,1.69083,1.15336,0.0035,0.49074,0.26,0.23814,0.78817,3.36267,0.99099,0.000578962,0.000578962,0.000578962
10,159.039,1.11938,1.66341,1.12237,0.00354,0.44444,0.30273,0.27946,0.7888,3.23999,1.00037,0.000637821,0.000637821,0.000637821
11,172.043,0.97583,1.50868,1.0784,0.00547,0.58025,0.51855,0.45347,0.85936,2.9494,1.01066,0.000695266,0.000695266,0.000695266
12,185.233,1.01599,1.47712,1.03692,1,0.12878,0.49909,0.43769,0.94118,2.77745,0.99858,0.000751295,0.000751295,0.000751295
13,197.83,1.06795,1.46365,1.11265,1,0.1811,0.45392,0.41123,0.91692,2.814,0.99663,0.00080591,0.00080591,0.00080591
14,210.222,1.05527,1.34748,1.0842,1,0.27457,0.64,0.53031,0.89464,2.41343,1.02431,0.000859111,0.000859111,0.000859111
15,223.629,1.10239,1.49842,1.11966,1,0.19681,0.63197,0.51174,0.93591,2.30003,1.02234,0.000910896,0.000910896,0.000910896
16,236.225,1.17854,1.5439,1.10926,1,0.13261,0.6372,0.53779,0.92173,2.48114,1.01339,0.000961267,0.000961267,0.000961267
17,248.623,1.30653,1.89429,1.23647,1,0.452,0.63797,0.55748,0.79441,1.99079,1.00453,0.00101022,0.00101022,0.00101022
18,260.827,1.18026,1.48656,1.12565,1,0.46834,0.67352,0.57145,0.82542,1.79262,1.00672,0.00105776,0.00105776,0.00105776
19,274.826,1.07313,1.70226,1.08273,0.77841,0.51372,0.68305,0.55278,0.8555,1.53237,1.00385,0.00110389,0.00110389,0.00110389
20,288.825,1.08059,1.49278,1.09901,0.98276,0.60911,0.74197,0.60344,0.81716,1.55376,1.0007,0.0011486,0.0011486,0.0011486
