epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3522,1.87953,4.28852,1.5546,0.00134,0.14921,0.00979,0.00226,0.77234,3.68374,1.03385,5.716e-05,5.716e-05,5.716e-05
2,22.0838,1.79265,4.35816,1.4436,0.0024,0.2381,0.08941,0.0369,1.11743,3.69635,1.09245,0.000127337,0.000127337,0.000127337
3,27.2087,1.34218,3.52561,1.20085,0.00463,0.32698,0.31402,0.18522,1.15576,3.55625,1.05982,0.000196099,0.000196099,0.000196099
4,32.4934,1.14681,2.51829,1.12411,0.00353,0.38095,0.32771,0.15749,0.84108,3.49421,1.0164,0.000263446,0.000263446,0.000263446
5,37.6292,1.1622,2.13047,1.09888,0.00609,0.5873,0.27637,0.16625,0.89254,3.42329,1.01193,0.000329379,0.000329379,0.000329379
6,42.3422,1.27068,2.18041,1.1796,0.00694,0.65079,0.2613,0.17122,0.93647,3.38733,1.04037,0.000393897,0.000393897,0.000393897
7,47.7352,1.12327,1.84975,1.15143,0.00687,0.61905,0.36619,0.29195,0.87444,3.22827,1.01103,0.000457,0.000457,0.000457
8,52.4575,0.93563,1.49897,1.03435,0.00848,0.60317,0.38404,0.32278,0.85375,3.17442,1.00421,0.000518688,0.000518688,0.000518688
9,57.6698,1.0674,1.63754,1.11643,0.00586,0.63492,0.45387,0.39722,0.81788,3.07473,0.99398,0.000578962,0.000578962,0.000578962
10,65.8747,1.19795,1.79009,1.15508,0.0067,0.61905,0.42159,0.36409,0.79843,3.12372,0.98145,0.000637821,0.000637821,0.000637821
11,70.9333,1.14867,1.9686,1.09638,0.0072,0.73016,0.47321,0.41876,0.90515,3.03733,1.02256,0.000695266,0.000695266,0.000695266
12,76.0279,0.96383,1.45924,1.01484,1,0.21153,0.5262,0.48021,0.87886,2.57547,1.0344,0.000751295,0.000751295,0.000751295
13,80.8258,1.14423,1.66802,1.1409,0.66667,0.27998,0.54612,0.48466,0.8748,2.44738,1.03826,0.00080591,0.00080591,0.00080591
14,85.4942,1.05661,1.48777,1.06212,0.5366,0.21199,0.55147,0.46955,0.93108,2.69194,1.03942,0.000859111,0.000859111,0.000859111
15,90.5984,1.12459,1.43256,1.14339,0.94146,0.12504,0.57391,0.49777,0.88598,2.63822,1.04329,0.000910896,0.000910896,0.000910896
16,95.4244,1.04141,1.47446,1.06818,0.97938,0.15681,0.5806,0.49508,0.8684,2.57715,1.0352,0.000961267,0.000961267,0.000961267
17,100.188,1.23842,1.58472,1.13989,0.88777,0.34073,0.68548,0.57075,0.85618,2.18619,1.02791,0.00101022,0.00101022,0.00101022
18,105.225,1.06152,1.48039,1.07343,0.79738,0.31428,0.60068,0.51004,0.84124,2.20316,1.03904,0.00105776,0.00105776,0.00105776
19,110.621,1.14295,1.80273,1.12532,0.75542,0.44284,0.66208,0.55356,0.91449,1.95813,1.06726,0.00110389,0.00110389,0.00110389
20,115.638,0.98177,1.3325,1.04684,0.8915,0.68429,0.77278,0.61623,0.85113,1.35702,1.04723,0.0011486,0.0011486,0.0011486
21,120.596,0.95176,1.34486,1.04198,0.80634,0.75739,0.76173,0.61477,0.84211,1.11212,1.0499,0.00114606,0.00114606,0.00114606
22,125.825,1.0604,1.49841,1.13323,0.76379,0.73185,0.75191,0.62441,0.81834,1.13658,1.05299,0.00113191,0.00113191,0.00113191
