epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0766,1.44043,4.16354,1.21879,0.00035,0.05926,0.00071,0.00021,1.79268,3.96781,1.70223,5.716e-05,5.716e-05,5.716e-05
2,19.4657,1.30063,4.03176,1.22759,0.001,0.20741,0.0471,0.01268,1.70896,3.96141,1.59271,0.000127337,0.000127337,0.000127337
3,24.3403,1.17367,3.24913,1.09304,0.00185,0.34815,0.19192,0.12168,1.73439,3.9001,1.56867,0.000196099,0.000196099,0.000196099
4,28.9967,1.1762,2.38377,1.11641,0.00197,0.34815,0.20738,0.15138,1.67079,3.87667,1.61269,0.000263446,0.000263446,0.000263446
5,33.4653,0.9528,1.77247,1.02279,0.00178,0.34815,0.21098,0.14654,1.75508,3.71791,1.53605,0.000329379,0.000329379,0.000329379
6,38.1728,0.94391,1.60011,1.02682,0.00227,0.37481,0.21309,0.1522,1.66767,3.65366,1.47309,0.000393897,0.000393897,0.000393897
7,42.9136,1.03418,1.85077,1.0807,0.00212,0.3763,0.21637,0.14828,1.67804,3.54512,1.48828,0.000457,0.000457,0.000457
8,47.3744,0.95442,1.55963,1.03056,0.00208,0.33926,0.23072,0.16816,1.60507,3.52709,1.4781,0.000518688,0.000518688,0.000518688
9,52.0464,0.92899,1.36515,1.01873,0.00299,0.41481,0.23033,0.18795,1.62344,3.42339,1.54575,0.000578962,0.000578962,0.000578962
10,56.855,0.80999,1.15858,1.01049,0.00259,0.37926,0.12146,0.10668,1.63069,3.4602,1.52364,0.000637821,0.000637821,0.000637821
11,61.6578,0.86494,1.34052,1.03716,0.0032,0.45926,0.055,0.042,1.66834,3.43604,1.53716,0.000695266,0.000695266,0.000695266
12,66.2799,0.80854,1.16627,0.985,0.76303,0.03212,0.27266,0.21675,1.78992,3.18022,1.64573,0.000751295,0.000751295,0.000751295
13,70.9563,0.89574,1.28001,1.01672,0.00393,0.51259,0.12751,0.10522,1.79123,3.27105,1.66078,0.00080591,0.00080591,0.00080591
14,75.5719,0.83946,1.20009,1.00828,0.5735,0.19164,0.24147,0.20218,1.71145,3.15937,1.58598,0.000859111,0.000859111,0.000859111
15,80.5898,0.98737,1.30081,1.05766,0.51124,0.24612,0.332,0.26803,1.78098,2.94097,1.64472,0.000910896,0.000910896,0.000910896
